                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     78,               0.016105,               0.013424,               0.015241,                      0,                0.99952,                 0.9987,                0.99499,                0.97602,                0.99952,                 0.9987,                0.99499,                0.83856,              0.0056644,              0.0068462,              0.0049213,                      0,                0.00769,                0.00769,                0.00769
                     79,               0.015738,               0.013357,                0.01528,                      0,                0.99947,                 0.9987,                  0.995,                0.97589,                0.99947,                 0.9987,                  0.995,                0.83958,              0.0056382,              0.0068315,              0.0049112,                      0,                0.00766,                0.00766,                0.00766
                     80,               0.015715,                 0.0134,               0.015251,                      0,                0.99957,                0.99867,                  0.995,                0.97664,                0.99957,                0.99867,                  0.995,                 0.8394,              0.0056391,              0.0068059,               0.004916,                      0,                0.00763,                0.00763,                0.00763
                     81,               0.016222,               0.013391,               0.015388,                      0,                0.99952,                0.99913,                  0.995,                0.97673,                0.99952,                0.99913,                  0.995,                0.83964,              0.0056148,              0.0067859,              0.0049001,                      0,                 0.0076,                 0.0076,                 0.0076
                     82,               0.016256,               0.013628,               0.015682,                      0,                0.99945,                0.99913,                  0.995,                0.97689,                0.99945,                0.99913,                  0.995,                0.84067,              0.0055751,              0.0067597,              0.0048666,                      0,                0.00757,                0.00757,                0.00757
                     83,               0.015683,               0.013345,               0.014984,                      0,                0.99935,                0.99885,                  0.995,                0.97724,                0.99935,                 0.9991,                  0.995,                0.84148,              0.0055715,              0.0067482,              0.0048514,                      0,                0.00754,                0.00754,                0.00754
                     84,               0.015849,               0.013246,               0.015099,                      0,                0.99935,                0.99908,                  0.995,                0.97801,                0.99935,                0.99908,                  0.995,                0.84207,              0.0055564,              0.0067394,              0.0048277,                      0,                0.00751,                0.00751,                0.00751
                     85,               0.015691,               0.013403,                0.01514,                      0,                0.99949,                0.99913,                  0.995,                 0.9791,                0.99949,                0.99913,                  0.995,                0.84305,              0.0055246,               0.006731,              0.0048045,                      0,                0.00748,                0.00748,                0.00748
                     86,               0.015841,               0.013531,               0.015304,                      0,                0.99952,                0.99913,                0.99499,                0.97842,                0.99952,                0.99913,                0.99499,                 0.8425,              0.0055006,               0.006728,              0.0047864,                      0,                0.00745,                0.00745,                0.00745
                     87,               0.015684,               0.013359,                 0.0155,                      0,                0.99957,                0.99911,                0.99499,                0.97809,                0.99957,                0.99911,                0.99499,                0.84252,              0.0054957,              0.0067178,              0.0047904,                      0,                0.00742,                0.00742,                0.00742
